regional_master,date_field,sales
50000575,2021-09-26,0.01
50000575,2021-10-03,0.01
50000575,2021-10-10,0.01
50000575,2021-10-17,0.01
50000575,2021-10-24,0.01
50000575,2021-10-31,0.01
50000575,2021-11-07,0.01
50000575,2021-11-14,0.01
50000575,2021-11-21,0.01
50000575,2021-11-28,0.01
50000575,2021-12-05,0.01
50000575,2021-12-12,0.01
50000575,2021-12-19,0.01
50000575,2021-12-26,0.01
50000575,2022-01-02,0.01
50000575,2022-01-09,0.01
50000575,2022-01-16,0.01
50000575,2022-01-23,0.01
50000575,2022-01-30,0.01
50000575,2022-02-06,0.01
50000575,2022-02-13,0.01
50000575,2022-02-20,0.01
50000575,2022-02-27,0.01
50000575,2022-03-06,0.0
50000575,2022-03-13,0.0
50000575,2022-03-20,0.01
50000575,2022-03-27,0.01
50000575,2022-04-03,0.01
50000575,2022-04-10,0.01
50000575,2022-04-17,0.01
50000575,2022-04-24,0.01
50000575,2022-05-01,0.01
50000575,2022-05-08,0.01
50000575,2022-05-15,0.01
50000575,2022-05-22,0.01
50000575,2022-05-29,0.01
50000575,2022-06-05,0.01
50000575,2022-06-12,8012.5
50000575,2022-06-19,8012.5
50000575,2022-06-26,8012.5
50000575,2022-07-03,8012.5
50000575,2022-07-10,1820.75
50000575,2022-07-17,1820.75
50000575,2022-07-24,1820.75
50000575,2022-07-31,1820.75
50000575,2022-08-07,291.0
50000575,2022-08-14,291.0
50000575,2022-08-21,291.0
50000575,2022-08-28,291.0
50000575,2022-09-04,291.0
50000575,2022-09-11,469.0
50000575,2022-09-18,259.01
50000575,2022-09-25,1056.6
50000575,2022-10-02,644.4000000000001
50000575,2022-10-09,3535.3
50000575,2022-10-16,5089.350000000003
50000575,2022-10-23,4471.399999999998
50000575,2022-10-30,3136.0
50000575,2022-11-06,3024.0
50000575,2022-11-13,4061.0
50000575,2022-11-20,6841.0
50000575,2022-11-27,2843.0
50000575,2022-12-04,3304.0
50000575,2022-12-11,3901.0
50000575,2022-12-18,2136.0
50000575,2022-12-25,4654.0
50000575,2023-01-01,5535.0
50000575,2023-01-08,1411.0
50000575,2023-01-15,1500.0
50000575,2023-01-22,1267.0
50000575,2023-01-29,616.0
50000575,2023-02-05,802.0
50000575,2023-02-12,1175.0
50000575,2023-02-19,507.0
50000575,2023-02-26,782.0
50000575,2023-03-05,388.0
50000575,2023-03-12,2633.3700000000003
50000575,2023-03-19,883.0
50000575,2023-03-26,758.0
50000575,2023-04-02,329.0
50000575,2023-04-09,608.0
50000575,2023-04-16,1023.0
50000575,2023-04-23,4106.0
50000575,2023-04-30,3126.0
50000575,2023-05-07,3492.0
50000575,2023-05-14,4618.0
50000575,2023-05-21,5082.0
50000575,2023-05-28,4882.0
50000575,2023-06-04,5260.0
50000575,2023-06-11,4982.0
50000575,2023-06-18,6373.0
50000575,2023-06-25,5818.0
50000575,2023-07-02,6386.0
50000575,2023-07-09,5697.0
50000575,2023-07-16,5487.0
50000575,2023-07-23,6248.0
50000575,2023-07-30,6158.0
50000575,2023-08-06,7723.0
50000575,2023-08-13,5999.0
50000575,2023-08-20,4567.0
50000575,2023-08-27,4475.0
50000575,2023-09-03,6422.0
50000575,2023-09-10,6851.0
50000575,2023-09-17,3454.0
50000575,2023-09-24,2996.0
50000575,2023-10-01,4240.0
50000575,2023-10-08,6528.0
50000575,2023-10-15,7310.0
50000575,2023-10-22,6243.0
50000575,2023-10-29,3612.0
50000575,2023-11-05,4177.0
50000575,2023-11-12,3201.0
50000575,2023-11-19,4726.0
50000575,2023-11-26,8521.52
50000575,2023-12-03,4311.0
50000575,2023-12-10,4015.0
50000575,2023-12-17,4597.0
50000575,2023-12-24,3219.0
50000575,2023-12-31,3941.0
50000620,2018-01-07,13910.610000000006
50000620,2018-01-14,17910.599999999988
50000620,2018-01-21,12541.729999999996
50000620,2018-01-28,14872.649999999983
50000620,2018-02-04,18457.27999999999
50000620,2018-02-11,11362.490000000003
50000620,2018-02-18,10305.690000000002
50000620,2018-02-25,12869.41999999999
50000620,2018-03-04,30132.16
50000620,2018-03-11,26830.74999999993
50000620,2018-03-18,27645.39999999996
50000620,2018-03-25,26601.11999999996
50000620,2018-04-01,28676.45
50000620,2018-04-08,31511.79999999996
50000620,2018-04-15,26719.049999999952
50000620,2018-04-22,30892.75999999997
50000620,2018-04-29,38190.18999999994
50000620,2018-05-06,32273.719999999976
50000620,2018-05-13,42435.72000000006
50000620,2018-05-20,51041.370000000206
50000620,2018-05-27,58779.87000000037
50000620,2018-06-03,48522.72000000022
50000620,2018-06-10,32607.32
50000620,2018-06-17,29774.53999999995
50000620,2018-06-24,25658.46000000003
50000620,2018-07-01,27884.440000000017
50000620,2018-07-08,39234.19000000002
50000620,2018-07-15,33510.620000000024
50000620,2018-07-22,24013.63999999998
50000620,2018-07-29,35529.47000000003
50000620,2018-08-05,23809.320000000032
50000620,2018-08-12,23979.08999999998
50000620,2018-08-19,23167.63999999997
50000620,2018-08-26,21488.539999999943
50000620,2018-09-02,23673.39999999995
50000620,2018-09-09,23220.66999999999
50000620,2018-09-16,21500.97999999998
50000620,2018-09-23,20600.12999999999
50000620,2018-09-30,22681.369999999955
50000620,2018-10-07,28565.000000000004
50000620,2018-10-14,25188.60999999996
50000620,2018-10-21,90101.04000000042
50000620,2018-10-28,29621.250000000106
50000620,2018-11-04,172309.59999999957
50000620,2018-11-11,51381.76000000002
50000620,2018-11-18,84725.18999999989
50000620,2018-11-25,35320.03000000003
50000620,2018-12-02,26240.169999999987
50000620,2018-12-09,29549.92999999996
50000620,2018-12-16,25024.299999999937
50000620,2018-12-23,24614.719999999987
50000620,2018-12-30,22855.31999999997
50000620,2019-01-13,28015.95000000001
50000620,2019-01-20,35825.96000000001
50000620,2019-01-27,22574.199999999983
50000620,2019-02-03,25696.35999999997
50000620,2019-02-10,36709.64000000004
50000620,2019-02-17,24433.11
50000620,2019-02-24,25226.529999999988
50000620,2019-03-03,30821.54000000004
50000620,2019-03-10,35467.31000000009
50000620,2019-03-17,32129.83000000001
50000620,2019-03-24,28489.98000000004
50000620,2019-03-31,118839.04999999984
50000620,2019-04-07,43864.76000000004
50000620,2019-04-14,20952.359999999982
50000620,2019-04-21,22335.87000000001
50000620,2019-04-28,33810.78
50000620,2019-05-05,29977.22000000006
50000620,2019-05-12,23353.06999999998
50000620,2019-05-19,29177.31000000002
50000620,2019-05-26,24255.189999999973
50000620,2019-06-02,27909.280000000013
50000620,2019-06-09,27697.219999999987
50000620,2019-06-16,29915.38000000008
50000620,2019-06-23,31201.800000000083
50000620,2019-06-30,26147.120000000064
50000620,2019-07-07,31826.550000000072
50000620,2019-07-14,31068.940000000053
50000620,2019-07-21,29850.61000000011
50000620,2019-07-28,75646.62999999987
50000620,2019-08-04,37031.35000000007
50000620,2019-08-11,28611.210000000083
50000620,2019-08-18,33727.04000000007
50000620,2019-08-25,30519.290000000045
50000620,2019-09-01,28750.440000000028
50000620,2019-09-08,29469.190000000068
50000620,2019-09-15,52257.41000000005
50000620,2019-09-22,91318.64999999976
50000620,2019-09-29,59343.139999999934
50000620,2019-10-06,48556.18999999997
50000620,2019-10-13,46239.33
50000620,2019-10-20,41093.949999999946
50000620,2019-10-27,45806.17000000001
50000620,2019-11-03,129441.57
50000620,2019-11-10,257570.929999999
50000620,2019-11-17,98183.48999999985
50000620,2019-11-24,170372.09999999992
50000620,2019-12-01,116238.09999999987
50000620,2019-12-08,51285.15999999996
50000620,2019-12-15,29430.58000000003
50000620,2019-12-22,33472.71999999998
50000620,2019-12-29,35340.80999999997
50000620,2020-01-05,48498.93999999984
50000620,2020-01-12,45004.57999999984
50000620,2020-01-19,56736.93999999978
50000620,2020-01-26,41845.199999999866
50000620,2020-02-02,37395.23999999996
50000620,2020-02-09,80785.09999999993
50000620,2020-02-16,23553.81999999994
50000620,2020-02-23,2223.6
50000620,2020-03-01,0.0
50000620,2020-03-08,0.0
50000620,2020-03-15,0.0
50000620,2020-03-22,0.0
50000620,2020-03-29,0.0
50000620,2020-04-05,0.0
50000620,2020-04-12,13421.240000000009
50000620,2020-04-19,16436.929999999993
50000620,2020-04-26,25688.77000000004
50000620,2020-05-03,31045.51999999996
50000620,2020-05-10,175224.4400000003
50000620,2020-05-17,27123.87999999997
50000620,2020-05-24,58448.53000000002
50000620,2020-05-31,69224.30999999995
50000620,2020-06-07,134648.63000000024
50000620,2020-06-14,85993.51999999987
50000620,2020-06-21,115125.01000000046
50000620,2020-06-28,86395.96000000022
50000620,2020-07-05,91251.99999999993
50000620,2020-07-12,89504.90999999979
50000620,2020-07-19,61152.99999999983
50000620,2020-07-26,64113.839999999705
50000620,2020-08-02,103723.89999999998
50000620,2020-08-09,145502.60000000056
50000620,2020-08-16,84258.01000000001
